date,product_name,category,quantity_sold,revenue,region,price,stock
2023-01-01,Quantum Pro Laptop,Electronics,7,1050000,East,150000,121
2023-01-01,Titan GPU X,Components,10,850000,North,85000,70
2023-01-01,Aero Max Drone,Gadgets,16,1040000,East,65000,137
2023-01-01,Lumina VR Headset,Wearables,20,900000,North,45000,149
2023-01-01,Echelon Gaming Desk,Furniture,14,490000,North,35000,51
2023-01-02,Quantum Pro Laptop,Electronics,4,600000,West,150000,87
2023-01-02,Titan GPU X,Components,9,765000,North,85000,138
2023-01-02,Aero Max Drone,Gadgets,14,910000,North,65000,108
2023-01-02,Lumina VR Headset,Wearables,13,585000,West,45000,64
2023-01-02,Echelon Gaming Desk,Furniture,9,315000,South,35000,100
2023-01-03,Quantum Pro Laptop,Electronics,5,750000,North,150000,180
2023-01-03,Titan GPU X,Components,7,595000,North,85000,100
2023-01-03,Aero Max Drone,Gadgets,11,715000,South,65000,181
2023-01-03,Lumina VR Headset,Wearables,19,855000,North,45000,109
2023-01-03,Echelon Gaming Desk,Furniture,6,210000,South,35000,102
2023-01-04,Quantum Pro Laptop,Electronics,5,750000,South,150000,133
2023-01-04,Titan GPU X,Components,8,680000,West,85000,57
2023-01-04,Aero Max Drone,Gadgets,10,650000,East,65000,84
2023-01-04,Lumina VR Headset,Wearables,14,630000,West,45000,181
2023-01-04,Echelon Gaming Desk,Furniture,10,350000,South,35000,183
2023-01-05,Quantum Pro Laptop,Electronics,5,750000,North,150000,195
2023-01-05,Titan GPU X,Components,6,510000,South,85000,93
2023-01-05,Aero Max Drone,Gadgets,13,845000,West,65000,89
2023-01-05,Lumina VR Headset,Wearables,15,675000,North,45000,131
2023-01-05,Echelon Gaming Desk,Furniture,13,455000,North,35000,173
2023-01-06,Quantum Pro Laptop,Electronics,5,750000,North,150000,90
2023-01-06,Titan GPU X,Components,7,595000,North,85000,120
2023-01-06,Aero Max Drone,Gadgets,11,715000,North,65000,137
2023-01-06,Lumina VR Headset,Wearables,11,495000,East,45000,188
2023-01-06,Echelon Gaming Desk,Furniture,8,280000,East,35000,130
2023-01-07,Quantum Pro Laptop,Electronics,8,1200000,East,150000,54
2023-01-07,Titan GPU X,Components,12,1020000,South,85000,90
2023-01-07,Aero Max Drone,Gadgets,14,910000,East,65000,111
2023-01-07,Lumina VR Headset,Wearables,20,900000,West,45000,86
2023-01-07,Echelon Gaming Desk,Furniture,15,525000,East,35000,84
2023-01-08,Quantum Pro Laptop,Electronics,8,1200000,North,150000,150
2023-01-08,Titan GPU X,Components,9,765000,South,85000,152
2023-01-08,Aero Max Drone,Gadgets,18,1170000,East,65000,186
2023-01-08,Lumina VR Headset,Wearables,19,855000,West,45000,112
2023-01-08,Echelon Gaming Desk,Furniture,14,490000,West,35000,101
2023-01-09,Quantum Pro Laptop,Electronics,6,900000,North,150000,192
2023-01-09,Titan GPU X,Components,8,680000,East,85000,78
2023-01-09,Aero Max Drone,Gadgets,10,650000,South,65000,94
2023-01-09,Lumina VR Headset,Wearables,13,585000,South,45000,183
2023-01-09,Echelon Gaming Desk,Furniture,7,245000,West,35000,79
2023-01-10,Quantum Pro Laptop,Electronics,4,600000,South,150000,124
2023-01-10,Titan GPU X,Components,7,595000,North,85000,178
2023-01-10,Aero Max Drone,Gadgets,11,715000,North,65000,76
2023-01-10,Lumina VR Headset,Wearables,17,765000,North,45000,52
2023-01-10,Echelon Gaming Desk,Furniture,9,315000,East,35000,186
2023-01-11,Quantum Pro Laptop,Electronics,6,900000,South,150000,108
2023-01-11,Titan GPU X,Components,7,595000,South,85000,145
2023-01-11,Aero Max Drone,Gadgets,8,520000,South,65000,101
2023-01-11,Lumina VR Headset,Wearables,17,765000,West,45000,88
2023-01-11,Echelon Gaming Desk,Furniture,7,245000,North,35000,130
2023-01-12,Quantum Pro Laptop,Electronics,5,750000,East,150000,162
2023-01-12,Titan GPU X,Components,7,595000,East,85000,178
2023-01-12,Aero Max Drone,Gadgets,12,780000,East,65000,175
2023-01-12,Lumina VR Headset,Wearables,15,675000,West,45000,117
2023-01-12,Echelon Gaming Desk,Furniture,8,280000,East,35000,172
2023-01-13,Quantum Pro Laptop,Electronics,5,750000,North,150000,165
2023-01-13,Titan GPU X,Components,7,595000,South,85000,188
2023-01-13,Aero Max Drone,Gadgets,13,845000,North,65000,173
2023-01-13,Lumina VR Headset,Wearables,16,720000,East,45000,119
2023-01-13,Echelon Gaming Desk,Furniture,11,385000,West,35000,196
2023-01-14,Quantum Pro Laptop,Electronics,7,1050000,South,150000,196
2023-01-14,Titan GPU X,Components,10,850000,North,85000,177
2023-01-14,Aero Max Drone,Gadgets,16,1040000,East,65000,131
2023-01-14,Lumina VR Headset,Wearables,22,990000,North,45000,91
2023-01-14,Echelon Gaming Desk,Furniture,16,560000,East,35000,56
2023-01-15,Quantum Pro Laptop,Electronics,8,1200000,North,150000,109
2023-01-15,Titan GPU X,Components,12,1020000,North,85000,51
2023-01-15,Aero Max Drone,Gadgets,19,1235000,East,65000,58
2023-01-15,Lumina VR Headset,Wearables,21,945000,North,45000,148
2023-01-15,Echelon Gaming Desk,Furniture,15,525000,West,35000,103
2023-01-16,Quantum Pro Laptop,Electronics,5,750000,West,150000,165
2023-01-16,Titan GPU X,Components,8,680000,East,85000,161
2023-01-16,Aero Max Drone,Gadgets,13,845000,South,65000,148
